algorithm,threads,n,k,rep,dtype,time
SeqPriority,24,30000000,7500000,9,i32,111
ParPriority,24,30000000,7500000,9,i32,851
SeqPermutation,24,30000000,7500000,9,i32,82
FullPermutation,24,30000000,7500000,9,i32,10486
ParPermutation,24,30000000,7500000,9,i32,3126
Naive,24,30000000,15000000,0,i32,4249
SeqPriority,24,30000000,15000000,0,i32,196
ParPriority,24,30000000,15000000,0,i32,1246
SeqPermutation,24,30000000,15000000,0,i32,123
FullPermutation,24,30000000,15000000,0,i32,10483
ParPermutation,24,30000000,15000000,0,i32,6318
Naive,24,30000000,15000000,1,i32,4140
SeqPriority,24,30000000,15000000,1,i32,176
ParPriority,24,30000000,15000000,1,i32,836
SeqPermutation,24,30000000,15000000,1,i32,127
FullPermutation,24,30000000,15000000,1,i32,10522
ParPermutation,24,30000000,15000000,1,i32,6363
Naive,24,30000000,15000000,2,i32,4284
SeqPriority,24,30000000,15000000,2,i32,171
ParPriority,24,30000000,15000000,2,i32,1006
SeqPermutation,24,30000000,15000000,2,i32,122
FullPermutation,24,30000000,15000000,2,i32,10575
ParPermutation,24,30000000,15000000,2,i32,6420
Naive,24,30000000,15000000,3,i32,4090
SeqPriority,24,30000000,15000000,3,i32,87
ParPriority,24,30000000,15000000,3,i32,1193
SeqPermutation,24,30000000,15000000,3,i32,128
FullPermutation,24,30000000,15000000,3,i32,10573
ParPermutation,24,30000000,15000000,3,i32,6420
Naive,24,30000000,15000000,4,i32,4277
SeqPriority,24,30000000,15000000,4,i32,165
ParPriority,24,30000000,15000000,4,i32,1172
SeqPermutation,24,30000000,15000000,4,i32,123
FullPermutation,24,30000000,15000000,4,i32,10581
ParPermutation,24,30000000,15000000,4,i32,6389
Naive,24,30000000,15000000,5,i32,4237
SeqPriority,24,30000000,15000000,5,i32,263
ParPriority,24,30000000,15000000,5,i32,920
SeqPermutation,24,30000000,15000000,5,i32,124
FullPermutation,24,30000000,15000000,5,i32,10600
ParPermutation,24,30000000,15000000,5,i32,6539
Naive,24,30000000,15000000,6,i32,4153
SeqPriority,24,30000000,15000000,6,i32,101
ParPriority,24,30000000,15000000,6,i32,1403
SeqPermutation,24,30000000,15000000,6,i32,124
FullPermutation,24,30000000,15000000,6,i32,10561
ParPermutation,24,30000000,15000000,6,i32,6437
Naive,24,30000000,15000000,7,i32,4282
SeqPriority,24,30000000,15000000,7,i32,148
ParPriority,24,30000000,15000000,7,i32,1023
SeqPermutation,24,30000000,15000000,7,i32,124
FullPermutation,24,30000000,15000000,7,i32,10599
ParPermutation,24,30000000,15000000,7,i32,6454
Naive,24,30000000,15000000,8,i32,4150
SeqPriority,24,30000000,15000000,8,i32,114
ParPriority,24,30000000,15000000,8,i32,1129
SeqPermutation,24,30000000,15000000,8,i32,123
FullPermutation,24,30000000,15000000,8,i32,10578
ParPermutation,24,30000000,15000000,8,i32,6420
Naive,24,30000000,15000000,9,i32,4285
SeqPriority,24,30000000,15000000,9,i32,192
ParPriority,24,30000000,15000000,9,i32,1603
SeqPermutation,24,30000000,15000000,9,i32,123
FullPermutation,24,30000000,15000000,9,i32,10612
ParPermutation,24,30000000,15000000,9,i32,6366
Naive,24,30000000,22500000,0,i32,5854
SeqPriority,24,30000000,22500000,0,i32,190
ParPriority,24,30000000,22500000,0,i32,974
SeqPermutation,24,30000000,22500000,0,i32,187
FullPermutation,24,30000000,22500000,0,i32,10521
ParPermutation,24,30000000,22500000,0,i32,9151
Naive,24,30000000,22500000,1,i32,5865
SeqPriority,24,30000000,22500000,1,i32,145
ParPriority,24,30000000,22500000,1,i32,1774
SeqPermutation,24,30000000,22500000,1,i32,167
FullPermutation,24,30000000,22500000,1,i32,10487
ParPermutation,24,30000000,22500000,1,i32,9128
Naive,24,30000000,22500000,2,i32,5885
SeqPriority,24,30000000,22500000,2,i32,124
ParPriority,24,30000000,22500000,2,i32,1651
SeqPermutation,24,30000000,22500000,2,i32,148
FullPermutation,24,30000000,22500000,2,i32,10484
ParPermutation,24,30000000,22500000,2,i32,9124
Naive,24,30000000,22500000,3,i32,5733
SeqPriority,24,30000000,22500000,3,i32,144
ParPriority,24,30000000,22500000,3,i32,1113
SeqPermutation,24,30000000,22500000,3,i32,160
FullPermutation,24,30000000,22500000,3,i32,10542
ParPermutation,24,30000000,22500000,3,i32,9112
Naive,24,30000000,22500000,4,i32,5791
SeqPriority,24,30000000,22500000,4,i32,205
ParPriority,24,30000000,22500000,4,i32,903
SeqPermutation,24,30000000,22500000,4,i32,162
FullPermutation,24,30000000,22500000,4,i32,10500
ParPermutation,24,30000000,22500000,4,i32,9118
Naive,24,30000000,22500000,5,i32,5906
SeqPriority,24,30000000,22500000,5,i32,180
ParPriority,24,30000000,22500000,5,i32,826
SeqPermutation,24,30000000,22500000,5,i32,164
FullPermutation,24,30000000,22500000,5,i32,10502
ParPermutation,24,30000000,22500000,5,i32,9122
Naive,24,30000000,22500000,6,i32,5802
SeqPriority,24,30000000,22500000,6,i32,107
ParPriority,24,30000000,22500000,6,i32,1024
SeqPermutation,24,30000000,22500000,6,i32,161
FullPermutation,24,30000000,22500000,6,i32,10538
ParPermutation,24,30000000,22500000,6,i32,9162
Naive,24,30000000,22500000,7,i32,5793
SeqPriority,24,30000000,22500000,7,i32,213
ParPriority,24,30000000,22500000,7,i32,1030
SeqPermutation,24,30000000,22500000,7,i32,164
FullPermutation,24,30000000,22500000,7,i32,10532
ParPermutation,24,30000000,22500000,7,i32,9134
Naive,24,30000000,22500000,8,i32,5729
SeqPriority,24,30000000,22500000,8,i32,100
ParPriority,24,30000000,22500000,8,i32,941
SeqPermutation,24,30000000,22500000,8,i32,166
FullPermutation,24,30000000,22500000,8,i32,10526
ParPermutation,24,30000000,22500000,8,i32,9142
Naive,24,30000000,22500000,9,i32,5911
SeqPriority,24,30000000,22500000,9,i32,129
ParPriority,24,30000000,22500000,9,i32,1258
SeqPermutation,24,30000000,22500000,9,i32,164
FullPermutation,24,30000000,22500000,9,i32,10535
ParPermutation,24,30000000,22500000,9,i32,9120
Naive,24,30000000,27000000,0,i32,7249
SeqPriority,24,30000000,27000000,0,i32,119
ParPriority,24,30000000,27000000,0,i32,705
SeqPermutation,24,30000000,27000000,0,i32,171
FullPermutation,24,30000000,27000000,0,i32,10558
ParPermutation,24,30000000,27000000,0,i32,10136
Naive,24,30000000,27000000,1,i32,7329
SeqPriority,24,30000000,27000000,1,i32,191
ParPriority,24,30000000,27000000,1,i32,801
SeqPermutation,24,30000000,27000000,1,i32,172
FullPermutation,24,30000000,27000000,1,i32,10518
ParPermutation,24,30000000,27000000,1,i32,10183
Naive,24,30000000,27000000,2,i32,7476
SeqPriority,24,30000000,27000000,2,i32,94
ParPriority,24,30000000,27000000,2,i32,1139
SeqPermutation,24,30000000,27000000,2,i32,174
FullPermutation,24,30000000,27000000,2,i32,10495
ParPermutation,24,30000000,27000000,2,i32,10237
Naive,24,30000000,27000000,3,i32,7568
SeqPriority,24,30000000,27000000,3,i32,118
ParPriority,24,30000000,27000000,3,i32,1324
SeqPermutation,24,30000000,27000000,3,i32,172
FullPermutation,24,30000000,27000000,3,i32,10535
ParPermutation,24,30000000,27000000,3,i32,10170
Naive,24,30000000,27000000,4,i32,7439
SeqPriority,24,30000000,27000000,4,i32,149
ParPriority,24,30000000,27000000,4,i32,1321
SeqPermutation,24,30000000,27000000,4,i32,172
FullPermutation,24,30000000,27000000,4,i32,10533
ParPermutation,24,30000000,27000000,4,i32,10148
Naive,24,30000000,27000000,5,i32,7402
SeqPriority,24,30000000,27000000,5,i32,155
ParPriority,24,30000000,27000000,5,i32,1625
SeqPermutation,24,30000000,27000000,5,i32,173
FullPermutation,24,30000000,27000000,5,i32,10514
