algorithm,threads,n,k,rep,dtype,time
SeqPriority,12,30000000,7500000,4,i32,157
ParPriority,12,30000000,7500000,4,i32,1170
SeqPermutation,12,30000000,7500000,4,i32,82
FullPermutation,12,30000000,7500000,4,i32,9540
ParPermutation,12,30000000,7500000,4,i32,2935
Naive,12,30000000,7500000,5,i32,2733
SeqPriority,12,30000000,7500000,5,i32,94
ParPriority,12,30000000,7500000,5,i32,1554
SeqPermutation,12,30000000,7500000,5,i32,79
FullPermutation,12,30000000,7500000,5,i32,9524
ParPermutation,12,30000000,7500000,5,i32,2926
Naive,12,30000000,7500000,6,i32,2773
SeqPriority,12,30000000,7500000,6,i32,132
ParPriority,12,30000000,7500000,6,i32,1022
SeqPermutation,12,30000000,7500000,6,i32,81
FullPermutation,12,30000000,7500000,6,i32,9542
ParPermutation,12,30000000,7500000,6,i32,2918
Naive,12,30000000,7500000,7,i32,2691
SeqPriority,12,30000000,7500000,7,i32,91
ParPriority,12,30000000,7500000,7,i32,1628
SeqPermutation,12,30000000,7500000,7,i32,80
FullPermutation,12,30000000,7500000,7,i32,9537
ParPermutation,12,30000000,7500000,7,i32,2941
Naive,12,30000000,7500000,8,i32,2787
SeqPriority,12,30000000,7500000,8,i32,161
ParPriority,12,30000000,7500000,8,i32,913
SeqPermutation,12,30000000,7500000,8,i32,80
FullPermutation,12,30000000,7500000,8,i32,9540
ParPermutation,12,30000000,7500000,8,i32,2922
Naive,12,30000000,7500000,9,i32,2752
SeqPriority,12,30000000,7500000,9,i32,100
ParPriority,12,30000000,7500000,9,i32,1542
SeqPermutation,12,30000000,7500000,9,i32,80
FullPermutation,12,30000000,7500000,9,i32,9547
ParPermutation,12,30000000,7500000,9,i32,2933
Naive,12,30000000,7500000,10,i32,2703
SeqPriority,12,30000000,7500000,10,i32,142
ParPriority,12,30000000,7500000,10,i32,1715
SeqPermutation,12,30000000,7500000,10,i32,80
FullPermutation,12,30000000,7500000,10,i32,9543
ParPermutation,12,30000000,7500000,10,i32,2928
Naive,12,30000000,7500000,11,i32,2779
SeqPriority,12,30000000,7500000,11,i32,190
ParPriority,12,30000000,7500000,11,i32,1833
SeqPermutation,12,30000000,7500000,11,i32,80
FullPermutation,12,30000000,7500000,11,i32,9544
ParPermutation,12,30000000,7500000,11,i32,2935
Naive,12,30000000,7500000,12,i32,2768
SeqPriority,12,30000000,7500000,12,i32,168
ParPriority,12,30000000,7500000,12,i32,938
SeqPermutation,12,30000000,7500000,12,i32,82
FullPermutation,12,30000000,7500000,12,i32,9530
ParPermutation,12,30000000,7500000,12,i32,2924
Naive,12,30000000,7500000,13,i32,2753
SeqPriority,12,30000000,7500000,13,i32,100
ParPriority,12,30000000,7500000,13,i32,1258
SeqPermutation,12,30000000,7500000,13,i32,80
FullPermutation,12,30000000,7500000,13,i32,9549
ParPermutation,12,30000000,7500000,13,i32,2941
Naive,12,30000000,7500000,14,i32,2737
SeqPriority,12,30000000,7500000,14,i32,169
ParPriority,12,30000000,7500000,14,i32,1763
SeqPermutation,12,30000000,7500000,14,i32,80
FullPermutation,12,30000000,7500000,14,i32,9538
ParPermutation,12,30000000,7500000,14,i32,2913
Naive,12,30000000,15000000,0,i32,4231
SeqPriority,12,30000000,15000000,0,i32,146
ParPriority,12,30000000,15000000,0,i32,1051
SeqPermutation,12,30000000,15000000,0,i32,123
FullPermutation,12,30000000,15000000,0,i32,9592
ParPermutation,12,30000000,15000000,0,i32,5953
Naive,12,30000000,15000000,1,i32,4160
SeqPriority,12,30000000,15000000,1,i32,255
ParPriority,12,30000000,15000000,1,i32,1444
SeqPermutation,12,30000000,15000000,1,i32,125
FullPermutation,12,30000000,15000000,1,i32,9562
ParPermutation,12,30000000,15000000,1,i32,5962
Naive,12,30000000,15000000,2,i32,4190
SeqPriority,12,30000000,15000000,2,i32,83
ParPriority,12,30000000,15000000,2,i32,2083
SeqPermutation,12,30000000,15000000,2,i32,123
FullPermutation,12,30000000,15000000,2,i32,9558
ParPermutation,12,30000000,15000000,2,i32,5955
Naive,12,30000000,15000000,3,i32,4091
SeqPriority,12,30000000,15000000,3,i32,108
ParPriority,12,30000000,15000000,3,i32,2317
SeqPermutation,12,30000000,15000000,3,i32,121
FullPermutation,12,30000000,15000000,3,i32,9552
ParPermutation,12,30000000,15000000,3,i32,5956
Naive,12,30000000,15000000,4,i32,4110
SeqPriority,12,30000000,15000000,4,i32,146
ParPriority,12,30000000,15000000,4,i32,1597
SeqPermutation,12,30000000,15000000,4,i32,121
FullPermutation,12,30000000,15000000,4,i32,9555
ParPermutation,12,30000000,15000000,4,i32,5959
Naive,12,30000000,15000000,5,i32,4270
SeqPriority,12,30000000,15000000,5,i32,155
ParPriority,12,30000000,15000000,5,i32,1295
SeqPermutation,12,30000000,15000000,5,i32,125
FullPermutation,12,30000000,15000000,5,i32,9546
ParPermutation,12,30000000,15000000,5,i32,5950
Naive,12,30000000,15000000,6,i32,4138
SeqPriority,12,30000000,15000000,6,i32,107
