algorithm,threads,n,k,rep,dtype,time(mu)
ParPermutation,24,20000000,10000000,1,i32,3731961
SeqPriority,24,20000000,10000000,2,i32,63871
ParPriority,24,20000000,10000000,2,i32,885688
SeqPermutation,24,20000000,10000000,2,i32,71734
FullPermutation,24,20000000,10000000,2,i32,6227045
ParPermutation,24,20000000,10000000,2,i32,3703049
SeqPriority,24,20000000,10000000,3,i32,89324
ParPriority,24,20000000,10000000,3,i32,854694
SeqPermutation,24,20000000,10000000,3,i32,68632
FullPermutation,24,20000000,10000000,3,i32,6216077
ParPermutation,24,20000000,10000000,3,i32,3699616
SeqPriority,24,20000000,10000000,4,i32,132489
ParPriority,24,20000000,10000000,4,i32,722822
SeqPermutation,24,20000000,10000000,4,i32,68947
FullPermutation,24,20000000,10000000,4,i32,6263898
ParPermutation,24,20000000,10000000,4,i32,3714861
SeqPriority,24,20000000,10000000,5,i32,112876
ParPriority,24,20000000,10000000,5,i32,1085280
SeqPermutation,24,20000000,10000000,5,i32,71161
FullPermutation,24,20000000,10000000,5,i32,6217124
ParPermutation,24,20000000,10000000,5,i32,3716515
SeqPriority,24,20000000,10000000,6,i32,80932
ParPriority,24,20000000,10000000,6,i32,765723
SeqPermutation,24,20000000,10000000,6,i32,69194
FullPermutation,24,20000000,10000000,6,i32,6234113
ParPermutation,24,20000000,10000000,6,i32,3719595
SeqPriority,24,20000000,10000000,7,i32,85238
ParPriority,24,20000000,10000000,7,i32,747310
SeqPermutation,24,20000000,10000000,7,i32,69123
FullPermutation,24,20000000,10000000,7,i32,6199508
ParPermutation,24,20000000,10000000,7,i32,3727734
SeqPriority,24,20000000,10000000,8,i32,99905
ParPriority,24,20000000,10000000,8,i32,855551
SeqPermutation,24,20000000,10000000,8,i32,68911
FullPermutation,24,20000000,10000000,8,i32,6251542
ParPermutation,24,20000000,10000000,8,i32,3711745
SeqPriority,24,20000000,10000000,9,i32,115259
ParPriority,24,20000000,10000000,9,i32,731585
SeqPermutation,24,20000000,10000000,9,i32,72344
FullPermutation,24,20000000,10000000,9,i32,6226518
ParPermutation,24,20000000,10000000,9,i32,3732566
SeqPriority,24,20000000,15000000,0,i32,85775
ParPriority,24,20000000,15000000,0,i32,798284
SeqPermutation,24,20000000,15000000,0,i32,86119
FullPermutation,24,20000000,15000000,0,i32,6223111
ParPermutation,24,20000000,15000000,0,i32,5210703
SeqPriority,24,20000000,15000000,1,i32,120722
ParPriority,24,20000000,15000000,1,i32,894645
SeqPermutation,24,20000000,15000000,1,i32,89129
FullPermutation,24,20000000,15000000,1,i32,6234657
ParPermutation,24,20000000,15000000,1,i32,5221562
SeqPriority,24,20000000,15000000,2,i32,142774
ParPriority,24,20000000,15000000,2,i32,596542
SeqPermutation,24,20000000,15000000,2,i32,86687
FullPermutation,24,20000000,15000000,2,i32,6207327
ParPermutation,24,20000000,15000000,2,i32,5240565
SeqPriority,24,20000000,15000000,3,i32,161588
ParPriority,24,20000000,15000000,3,i32,621269
SeqPermutation,24,20000000,15000000,3,i32,85886
FullPermutation,24,20000000,15000000,3,i32,6101227
ParPermutation,24,20000000,15000000,3,i32,5240224
SeqPriority,24,20000000,15000000,4,i32,110303
ParPriority,24,20000000,15000000,4,i32,940442
SeqPermutation,24,20000000,15000000,4,i32,85606
FullPermutation,24,20000000,15000000,4,i32,6254229
ParPermutation,24,20000000,15000000,4,i32,5230919
SeqPriority,24,20000000,15000000,5,i32,86374
ParPriority,24,20000000,15000000,5,i32,1002022
SeqPermutation,24,20000000,15000000,5,i32,85627
FullPermutation,24,20000000,15000000,5,i32,6284511
ParPermutation,24,20000000,15000000,5,i32,5226300
SeqPriority,24,20000000,15000000,6,i32,79240
ParPriority,24,20000000,15000000,6,i32,778555
SeqPermutation,24,20000000,15000000,6,i32,85214
FullPermutation,24,20000000,15000000,6,i32,6233509
ParPermutation,24,20000000,15000000,6,i32,5209841
SeqPriority,24,20000000,15000000,7,i32,52821
ParPriority,24,20000000,15000000,7,i32,528300
SeqPermutation,24,20000000,15000000,7,i32,86474
FullPermutation,24,20000000,15000000,7,i32,6226172
ParPermutation,24,20000000,15000000,7,i32,5228346
SeqPriority,24,20000000,15000000,8,i32,102274
ParPriority,24,20000000,15000000,8,i32,629040
SeqPermutation,24,20000000,15000000,8,i32,86540
FullPermutation,24,20000000,15000000,8,i32,6204329
ParPermutation,24,20000000,15000000,8,i32,5254134
SeqPriority,24,20000000,15000000,9,i32,89095
ParPriority,24,20000000,15000000,9,i32,973336
SeqPermutation,24,20000000,15000000,9,i32,85677
FullPermutation,24,20000000,15000000,9,i32,6235872
ParPermutation,24,20000000,15000000,9,i32,5258536
SeqPriority,24,20000000,18000000,0,i32,116252
ParPriority,24,20000000,18000000,0,i32,624858
SeqPermutation,24,20000000,18000000,0,i32,90996
FullPermutation,24,20000000,18000000,0,i32,6263090
ParPermutation,24,20000000,18000000,0,i32,5880826
SeqPriority,24,20000000,18000000,1,i32,66159
ParPriority,24,20000000,18000000,1,i32,744373
SeqPermutation,24,20000000,18000000,1,i32,90891
FullPermutation,24,20000000,18000000,1,i32,6241979
ParPermutation,24,20000000,18000000,1,i32,5873862
SeqPriority,24,20000000,18000000,2,i32,105681
ParPriority,24,20000000,18000000,2,i32,689892
SeqPermutation,24,20000000,18000000,2,i32,89471
FullPermutation,24,20000000,18000000,2,i32,6206561
ParPermutation,24,20000000,18000000,2,i32,5889150
SeqPriority,24,20000000,18000000,3,i32,76302
ParPriority,24,20000000,18000000,3,i32,540377
SeqPermutation,24,20000000,18000000,3,i32,90626
FullPermutation,24,20000000,18000000,3,i32,6232142
ParPermutation,24,20000000,18000000,3,i32,5902682
SeqPriority,24,20000000,18000000,4,i32,110858
ParPriority,24,20000000,18000000,4,i32,736567
SeqPermutation,24,20000000,18000000,4,i32,90969
FullPermutation,24,20000000,18000000,4,i32,6220580
ParPermutation,24,20000000,18000000,4,i32,5880913
SeqPriority,24,20000000,18000000,5,i32,60771
ParPriority,24,20000000,18000000,5,i32,708948
SeqPermutation,24,20000000,18000000,5,i32,89885
FullPermutation,24,20000000,18000000,5,i32,6228739
ParPermutation,24,20000000,18000000,5,i32,5874725
SeqPriority,24,20000000,18000000,6,i32,119591
ParPriority,24,20000000,18000000,6,i32,584633
SeqPermutation,24,20000000,18000000,6,i32,89196
FullPermutation,24,20000000,18000000,6,i32,6102906
ParPermutation,24,20000000,18000000,6,i32,5754311
SeqPriority,24,20000000,18000000,7,i32,84723
ParPriority,24,20000000,18000000,7,i32,848807
SeqPermutation,24,20000000,18000000,7,i32,89706
FullPermutation,24,20000000,18000000,7,i32,6113620
ParPermutation,24,20000000,18000000,7,i32,5728691
SeqPriority,24,20000000,18000000,8,i32,61279
ParPriority,24,20000000,18000000,8,i32,820833
SeqPermutation,24,20000000,18000000,8,i32,91555
FullPermutation,24,20000000,18000000,8,i32,6103278
ParPermutation,24,20000000,18000000,8,i32,5700581
SeqPriority,24,20000000,18000000,9,i32,98608
ParPriority,24,20000000,18000000,9,i32,641039
SeqPermutation,24,20000000,18000000,9,i32,89833
FullPermutation,24,20000000,18000000,9,i32,6079299
ParPermutation,24,20000000,18000000,9,i32,5720832
