algo,k,num_threads,time
SeqPermutationFull,250000000,1,12194
SeqPermutationFull,250000000,1,12190
SeqPermutationFull,250000000,1,12165
ParPermutation,250000000,1,26977
ParPermutation,250000000,1,26965
ParPermutation,250000000,1,26960
ParPermutationFull,250000000,1,83972
ParPermutationFull,250000000,1,85074
ParPermutationFull,250000000,1,83953
Naive,150000000,1,63352
Naive,150000000,1,63311
Naive,150000000,1,63324
Naive,400000000,1,165860
Naive,400000000,1,166776
Naive,400000000,1,166841
SeqPriority,150000000,1,9361
SeqPriority,150000000,1,8040
SeqPriority,150000000,1,9240
SeqPriority,400000000,1,7828
SeqPriority,400000000,1,8803
SeqPriority,400000000,1,7547
ParPriority,150000000,1,44026
ParPriority,150000000,1,43977
ParPriority,150000000,1,43649
ParPriority,400000000,1,42573
ParPriority,400000000,1,43845
ParPriority,400000000,1,42576
SeqPermutation,150000000,1,53631
SeqPermutation,150000000,1,52795
SeqPermutation,150000000,1,53677
SeqPermutation,400000000,1,117102
SeqPermutation,400000000,1,115017
SeqPermutation,400000000,1,116622
SeqPermutationFull,150000000,1,11685
SeqPermutationFull,150000000,1,11978
SeqPermutationFull,150000000,1,11965
SeqPermutationFull,400000000,1,11719
SeqPermutationFull,400000000,1,12051
SeqPermutationFull,400000000,1,12219
ParPermutation,150000000,1,14574
ParPermutation,150000000,1,14575
ParPermutation,150000000,1,14582
ParPermutation,400000000,1,55448
ParPermutation,400000000,1,55418
ParPermutation,400000000,1,55390
ParPermutationFull,150000000,1,84434
ParPermutationFull,150000000,1,85667
ParPermutationFull,150000000,1,84674
ParPermutationFull,400000000,1,85048
ParPermutationFull,400000000,1,86911
ParPermutationFull,400000000,1,86889
