algo,k,num_threads,time
Naive,50000,24,6
Naive,50000,24,6
Naive,50000,24,6
Naive,100000,24,13
Naive,100000,24,13
Naive,100000,24,13
Naive,500000,24,67
Naive,500000,24,66
Naive,500000,24,66
Naive,1000000,24,167
Naive,1000000,24,165
Naive,1000000,24,165
Naive,5000000,24,1473
Naive,5000000,24,1466
Naive,5000000,24,1473
Naive,10000000,24,3298
Naive,10000000,24,3323
Naive,10000000,24,3300
Naive,50000000,24,22178
Naive,50000000,24,22077
Naive,50000000,24,22127
Naive,100000000,24,39278
Naive,100000000,24,39294
Naive,100000000,24,39409
Naive,500000000,24,980660
Naive,500000000,24,962139
Naive,500000000,24,1025388
SeqPriority,50000,24,7080
SeqPriority,50000,24,6775
SeqPriority,50000,24,7828
SeqPriority,100000,24,6302
SeqPriority,100000,24,7414
SeqPriority,100000,24,6826
SeqPriority,500000,24,5739
SeqPriority,500000,24,7354
SeqPriority,500000,24,6973
SeqPriority,1000000,24,6462
SeqPriority,1000000,24,7486
SeqPriority,1000000,24,7240
SeqPriority,5000000,24,6941
SeqPriority,5000000,24,7655
SeqPriority,5000000,24,7338
SeqPriority,10000000,24,7261
SeqPriority,10000000,24,7438
SeqPriority,10000000,24,7403
SeqPriority,50000000,24,7216
SeqPriority,50000000,24,6894
SeqPriority,50000000,24,7546
SeqPriority,100000000,24,8174
SeqPriority,100000000,24,8186
SeqPriority,100000000,24,8273
SeqPriority,500000000,24,5150
SeqPriority,500000000,24,5150
SeqPriority,500000000,24,5150
ParPriority,50000,24,2874
ParPriority,50000,24,2918
ParPriority,50000,24,2906
ParPriority,100000,24,2945
ParPriority,100000,24,2900
ParPriority,100000,24,2900
ParPriority,500000,24,2957
ParPriority,500000,24,2933
ParPriority,500000,24,2900
ParPriority,1000000,24,3109
ParPriority,1000000,24,2902
ParPriority,1000000,24,2943
ParPriority,5000000,24,3126
ParPriority,5000000,24,2979
ParPriority,5000000,24,3090
ParPriority,10000000,24,3109
ParPriority,10000000,24,3204
ParPriority,10000000,24,3096
ParPriority,50000000,24,3140
ParPriority,50000000,24,3166
ParPriority,50000000,24,3159
ParPriority,100000000,24,3351
ParPriority,100000000,24,3301
ParPriority,100000000,24,3268
SeqPermutation,50000,24,6
SeqPermutation,50000,24,6
SeqPermutation,50000,24,6
SeqPermutation,100000,24,14
SeqPermutation,100000,24,14
SeqPermutation,100000,24,14
SeqPermutation,500000,24,70
SeqPermutation,500000,24,69
SeqPermutation,500000,24,69
SeqPermutation,1000000,24,172
SeqPermutation,1000000,24,175
SeqPermutation,1000000,24,172
SeqPermutation,5000000,24,1494
SeqPermutation,5000000,24,1495
SeqPermutation,5000000,24,1495
SeqPermutation,10000000,24,3339
SeqPermutation,10000000,24,3348
SeqPermutation,10000000,24,3372
SeqPermutation,50000000,24,17921
SeqPermutation,50000000,24,17843
SeqPermutation,50000000,24,18001
SeqPermutation,100000000,24,35824
SeqPermutation,100000000,24,36027
SeqPermutation,100000000,24,35723
SeqPermutation,500000000,24,138939
SeqPermutation,500000000,24,138595
SeqPermutation,500000000,24,138773
SeqPermutationFull,50000,24,12135
SeqPermutationFull,50000,24,12139
SeqPermutationFull,50000,24,12140
SeqPermutationFull,100000,24,12141
SeqPermutationFull,100000,24,12137
SeqPermutationFull,100000,24,12146
SeqPermutationFull,500000,24,12127
SeqPermutationFull,500000,24,12122
SeqPermutationFull,500000,24,12137
SeqPermutationFull,1000000,24,12115
SeqPermutationFull,1000000,24,12138
SeqPermutationFull,1000000,24,12089
SeqPermutationFull,5000000,24,12104
SeqPermutationFull,5000000,24,12126
SeqPermutationFull,5000000,24,12135
SeqPermutationFull,10000000,24,12134
SeqPermutationFull,10000000,24,12135
SeqPermutationFull,10000000,24,12132
SeqPermutationFull,50000000,24,12134
SeqPermutationFull,50000000,24,12114
SeqPermutationFull,50000000,24,12065
SeqPermutationFull,100000000,24,12123
SeqPermutationFull,100000000,24,12107
SeqPermutationFull,100000000,24,12133
SeqPermutationFull,500000000,24,12111
SeqPermutationFull,500000000,24,12121
SeqPermutationFull,500000000,24,12116
ParPermutation,50000,24,809
ParPermutation,50000,24,810
ParPermutation,50000,24,812
ParPermutation,100000,24,821
ParPermutation,100000,24,817
ParPermutation,100000,24,823
ParPermutation,500000,24,817
ParPermutation,500000,24,821
ParPermutation,500000,24,822
ParPermutation,1000000,24,824
ParPermutation,1000000,24,839
ParPermutation,1000000,24,837
ParPermutation,5000000,24,865
ParPermutation,5000000,24,885
ParPermutation,5000000,24,903
ParPermutation,10000000,24,943
ParPermutation,10000000,24,951
ParPermutation,10000000,24,964
ParPermutation,50000000,24,1572
ParPermutation,50000000,24,1585
ParPermutation,50000000,24,1584
ParPermutation,100000000,24,2467
ParPermutation,100000000,24,2444
ParPermutation,100000000,24,2445
ParPermutation,500000000,24,16494
ParPermutation,500000000,24,16520
ParPermutation,500000000,24,16487
ParPermutationFull,50000,24,16571
ParPermutationFull,50000,24,16541
ParPermutationFull,50000,24,16526
ParPermutationFull,100000,24,16545
ParPermutationFull,100000,24,16478
ParPermutationFull,100000,24,16592
ParPermutationFull,500000,24,16526
ParPermutationFull,500000,24,16525
ParPermutationFull,500000,24,16582
ParPermutationFull,1000000,24,16567
ParPermutationFull,1000000,24,16500
ParPermutationFull,1000000,24,16596
ParPermutationFull,5000000,24,16512
ParPermutationFull,5000000,24,16517
ParPermutationFull,5000000,24,16527
ParPermutationFull,10000000,24,16498
ParPermutationFull,10000000,24,16570
ParPermutationFull,10000000,24,16533
ParPermutationFull,50000000,24,16612
ParPermutationFull,50000000,24,16560
ParPermutationFull,50000000,24,16543
ParPermutationFull,100000000,24,16568
ParPermutationFull,100000000,24,16555
ParPermutationFull,100000000,24,16531
ParPermutationFull,500000000,24,16544
ParPermutationFull,500000000,24,16498
ParPermutationFull,500000000,24,16491
ParPriority,499999999,24,3820
ParPriority,499999999,24,3860
ParPriority,499999999,24,3891
Naive,250000000,24,108345
Naive,250000000,24,108307
Naive,250000000,24,108221
SeqPriority,250000000,24,9421
SeqPriority,250000000,24,9380
SeqPriority,250000000,24,9673
ParPriority,250000000,24,3515
ParPriority,250000000,24,3460
ParPriority,250000000,24,3474
SeqPermutation,250000000,24,79570
SeqPermutation,250000000,24,79500
SeqPermutation,250000000,24,79458
SeqPermutationFull,250000000,24,12212
SeqPermutationFull,250000000,24,12213
SeqPermutationFull,250000000,24,12189
ParPermutation,250000000,24,5822
ParPermutation,250000000,24,5813
ParPermutation,250000000,24,5810
ParPermutationFull,250000000,24,16535
ParPermutationFull,250000000,24,16645
ParPermutationFull,250000000,24,16545
