algo,k,threads,time(ms),rep
Naive,28,12,191961,0
SeqPriority,28,12,6924462
ParPriority,28,12,1283418,0
SeqPermutation,28,12,2680428,0
ParPermutation,28,12,919152,0
ParPermutationFull,28,12,39252933,0
Naive,288,12,189939,0
SeqPriority,288,12,7408302
ParPriority,288,12,1207730,0
SeqPermutation,288,12,2576979,0
ParPermutation,288,12,919151,0
ParPermutationFull,288,12,39068581,0
Naive,2889,12,192632,0
SeqPriority,2889,12,6731551
ParPriority,2889,12,1225605,0
SeqPermutation,2889,12,2685710,0
ParPermutation,2889,12,920012,0
ParPermutationFull,2889,12,38840903,0
Naive,22360,12,199835,0
SeqPriority,22360,12,6789316
ParPriority,22360,12,1221745,0
SeqPermutation,22360,12,2689523,0
ParPermutation,22360,12,920749,0
ParPermutationFull,22360,12,38870069,0
Naive,223600,12,228800,0
SeqPriority,223600,12,5633333
ParPriority,223600,12,1209351,0
SeqPermutation,223600,12,2739579,0
ParPermutation,223600,12,933691,0
ParPermutationFull,223600,12,38879059,0
Naive,2236000,12,710957,0
SeqPriority,2236000,12,6901251
ParPriority,2236000,12,1413718,0
SeqPermutation,2236000,12,2583392,0
ParPermutation,2236000,12,989335,0
ParPermutationFull,2236000,12,38768010,0
Naive,22360000,12,8115113,0
SeqPriority,22360000,12,9089831
ParPriority,22360000,12,1446642,0
SeqPermutation,22360000,12,2824161,0
ParPermutation,22360000,12,2281099,0
ParPermutationFull,22360000,12,39147526,0
