algo,k,num_threads,time
Naive,50000,12,6
Naive,50000,12,6
Naive,50000,12,6
Naive,100000,12,13
Naive,100000,12,13
Naive,100000,12,13
Naive,500000,12,67
Naive,500000,12,68
Naive,500000,12,67
Naive,1000000,12,169
Naive,1000000,12,166
Naive,1000000,12,166
Naive,5000000,12,1432
Naive,5000000,12,1422
Naive,5000000,12,1473
Naive,10000000,12,3332
Naive,10000000,12,3332
Naive,10000000,12,3350
Naive,50000000,12,22241
Naive,50000000,12,21927
Naive,50000000,12,22155
Naive,100000000,12,39518
Naive,100000000,12,39398
Naive,100000000,12,39370
Naive,500000000,12,1032207
Naive,500000000,12,1012670
Naive,500000000,12,914343
SeqPriority,50000,12,5780
SeqPriority,50000,12,7399
SeqPriority,50000,12,6145
SeqPriority,100000,12,7092
SeqPriority,100000,12,5399
SeqPriority,100000,12,6719
SeqPriority,500000,12,6234
SeqPriority,500000,12,5981
SeqPriority,500000,12,6724
SeqPriority,1000000,12,5585
SeqPriority,1000000,12,6939
SeqPriority,1000000,12,5966
SeqPriority,5000000,12,6195
SeqPriority,5000000,12,7071
SeqPriority,5000000,12,6992
SeqPriority,10000000,12,7248
SeqPriority,10000000,12,6889
SeqPriority,10000000,12,7474
SeqPriority,50000000,12,8232
SeqPriority,50000000,12,6724
SeqPriority,50000000,12,6646
SeqPriority,100000000,12,7467
SeqPriority,100000000,12,8350
SeqPriority,100000000,12,7838
SeqPriority,500000000,12,4942
SeqPriority,500000000,12,4939
SeqPriority,500000000,12,5148
ParPriority,50000,12,3899
ParPriority,50000,12,3838
ParPriority,50000,12,3846
ParPriority,100000,12,3866
ParPriority,100000,12,3869
ParPriority,100000,12,3845
ParPriority,500000,12,3898
ParPriority,500000,12,3864
ParPriority,500000,12,3998
ParPriority,1000000,12,4116
ParPriority,1000000,12,3886
ParPriority,1000000,12,3895
ParPriority,5000000,12,4216
ParPriority,5000000,12,4143
ParPriority,5000000,12,4148
ParPriority,10000000,12,4176
ParPriority,10000000,12,4208
ParPriority,10000000,12,4258
ParPriority,50000000,12,4262
ParPriority,50000000,12,4156
ParPriority,50000000,12,4165
ParPriority,100000000,12,4413
ParPriority,100000000,12,4307
ParPriority,100000000,12,4238
SeqPermutation,50000,12,6
SeqPermutation,50000,12,6
SeqPermutation,50000,12,6
SeqPermutation,100000,12,13
SeqPermutation,100000,12,14
SeqPermutation,100000,12,14
SeqPermutation,500000,12,70
SeqPermutation,500000,12,70
SeqPermutation,500000,12,70
SeqPermutation,1000000,12,172
SeqPermutation,1000000,12,172
SeqPermutation,1000000,12,175
SeqPermutation,5000000,12,1496
SeqPermutation,5000000,12,1483
SeqPermutation,5000000,12,1457
SeqPermutation,10000000,12,3269
SeqPermutation,10000000,12,3288
SeqPermutation,10000000,12,3357
SeqPermutation,50000000,12,18090
SeqPermutation,50000000,12,17867
SeqPermutation,50000000,12,18172
SeqPermutation,100000000,12,36005
SeqPermutation,100000000,12,35628
SeqPermutation,100000000,12,35576
SeqPermutation,500000000,12,139568
SeqPermutation,500000000,12,139053
SeqPermutation,500000000,12,138436
SeqPermutationFull,50000,12,12105
SeqPermutationFull,50000,12,12144
SeqPermutationFull,50000,12,12131
SeqPermutationFull,100000,12,12120
SeqPermutationFull,100000,12,12148
SeqPermutationFull,100000,12,12133
SeqPermutationFull,500000,12,12129
SeqPermutationFull,500000,12,12133
SeqPermutationFull,500000,12,12150
SeqPermutationFull,1000000,12,12130
SeqPermutationFull,1000000,12,12124
SeqPermutationFull,1000000,12,12138
SeqPermutationFull,5000000,12,12140
SeqPermutationFull,5000000,12,12119
SeqPermutationFull,5000000,12,12141
SeqPermutationFull,10000000,12,12116
SeqPermutationFull,10000000,12,12040
SeqPermutationFull,10000000,12,12121
SeqPermutationFull,50000000,12,12117
SeqPermutationFull,50000000,12,12120
SeqPermutationFull,50000000,12,12037
SeqPermutationFull,100000000,12,12077
SeqPermutationFull,100000000,12,12067
SeqPermutationFull,100000000,12,12032
SeqPermutationFull,500000000,12,12129
SeqPermutationFull,500000000,12,12122
SeqPermutationFull,500000000,12,12091
ParPermutation,50000,12,722
ParPermutation,50000,12,722
ParPermutation,50000,12,728
ParPermutation,100000,12,721
ParPermutation,100000,12,718
ParPermutation,100000,12,723
ParPermutation,500000,12,731
ParPermutation,500000,12,727
ParPermutation,500000,12,723
