algo,k%,threads,time(ms),rep
Naive,10,12,919025,0
SeqPriority,10,12,583181
ParPriority,10,12,108706,0
SeqPermutation,10,12,154918,0
ParPermutation,10,12,174100,0
ParPermutationFull,10,12,1990064,0
Naive,10,12,1049733,1
SeqPriority,10,12,500494
ParPriority,10,12,90554,1
SeqPermutation,10,12,154654,1
ParPermutation,10,12,162271,1
ParPermutationFull,10,12,1964051,1
Naive,10,12,1022896,2
SeqPriority,10,12,447107
ParPriority,10,12,86320,2
SeqPermutation,10,12,154538,2
ParPermutation,10,12,160413,2
ParPermutationFull,10,12,1951768,2
Naive,10,12,1026498,3
SeqPriority,10,12,424569
ParPriority,10,12,89253,3
SeqPermutation,10,12,154528,3
ParPermutation,10,12,164528,3
ParPermutationFull,10,12,1953839,3
Naive,10,12,1024976,4
SeqPriority,10,12,467579
ParPriority,10,12,85510,4
SeqPermutation,10,12,154330,4
ParPermutation,10,12,162030,4
ParPermutationFull,10,12,1950476,4
Naive,25,12,2909985,0
SeqPriority,25,12,515571
ParPriority,25,12,87201,0
SeqPermutation,25,12,179583,0
ParPermutation,25,12,415894,0
ParPermutationFull,25,12,1947743,0
Naive,25,12,2902317,1
SeqPriority,25,12,511995
ParPriority,25,12,84921,1
SeqPermutation,25,12,185493,1
ParPermutation,25,12,433457,1
ParPermutationFull,25,12,1971132,1
Naive,25,12,2933900,2
SeqPriority,25,12,502383
ParPriority,25,12,89802,2
SeqPermutation,25,12,173753,2
ParPermutation,25,12,422808,2
ParPermutationFull,25,12,1947129,2
Naive,25,12,2920104,3
SeqPriority,25,12,477967
ParPriority,25,12,85630,3
SeqPermutation,25,12,173908,3
ParPermutation,25,12,415930,3
ParPermutationFull,25,12,1943170,3
Naive,25,12,2945228,4
SeqPriority,25,12,446207
ParPriority,25,12,88399,4
SeqPermutation,25,12,173420,4
ParPermutation,25,12,413424,4
ParPermutationFull,25,12,1940571,4
Naive,50,12,6244783,0
SeqPriority,50,12,583742
ParPriority,50,12,91458,0
SeqPermutation,50,12,195109,0
ParPermutation,50,12,902522,0
ParPermutationFull,50,12,1954576,0
Naive,50,12,6164934,1
SeqPriority,50,12,538114
ParPriority,50,12,94359,1
SeqPermutation,50,12,208354,1
ParPermutation,50,12,908019,1
ParPermutationFull,50,12,1952380,1
Naive,50,12,6125959,2
SeqPriority,50,12,570592
ParPriority,50,12,92551,2
SeqPermutation,50,12,206448,2
ParPermutation,50,12,899914,2
ParPermutationFull,50,12,1940967,2
Naive,50,12,6202462,3
SeqPriority,50,12,577091
ParPriority,50,12,93842,3
SeqPermutation,50,12,209986,3
ParPermutation,50,12,898329,3
ParPermutationFull,50,12,1940088,3
Naive,50,12,6202590,4
SeqPriority,50,12,573610
ParPriority,50,12,95877,4
SeqPermutation,50,12,208437,4
ParPermutation,50,12,906784,4
ParPermutationFull,50,12,1945701,4
Naive,75,12,8664735,0
SeqPriority,75,12,510332
ParPriority,75,12,99944,0
SeqPermutation,75,12,224970,0
ParPermutation,75,12,1434750,0
ParPermutationFull,75,12,1943238,0
Naive,75,12,8757626,1
SeqPriority,75,12,515730
ParPriority,75,12,104363,1
SeqPermutation,75,12,226660,1
ParPermutation,75,12,1430362,1
ParPermutationFull,75,12,1960845,1
Naive,75,12,8809255,2
SeqPriority,75,12,473207
ParPriority,75,12,100143,2
SeqPermutation,75,12,226295,2
ParPermutation,75,12,1427109,2
ParPermutationFull,75,12,1963033,2
Naive,75,12,8912002,3
SeqPriority,75,12,476790
ParPriority,75,12,104014,3
SeqPermutation,75,12,226594,3
ParPermutation,75,12,1433201,3
ParPermutationFull,75,12,1959677,3
Naive,75,12,8927512,4
SeqPriority,75,12,528273
ParPriority,75,12,101869,4
SeqPermutation,75,12,226777,4
ParPermutation,75,12,1421163,4
ParPermutationFull,75,12,1956484,4
Naive,90,12,12302328,0
SeqPriority,90,12,459895
ParPriority,90,12,105874,0
SeqPermutation,90,12,241037,0
ParPermutation,90,12,1751036,0
ParPermutationFull,90,12,1960199,0
Naive,90,12,12187874,1
SeqPriority,90,12,414967
ParPriority,90,12,108232,1
SeqPermutation,90,12,246898,1
ParPermutation,90,12,1741692,1
ParPermutationFull,90,12,1949142,1
Naive,90,12,12303908,2
SeqPriority,90,12,439912
ParPriority,90,12,110606,2
SeqPermutation,90,12,238207,2
ParPermutation,90,12,1738481,2
ParPermutationFull,90,12,1948868,2
Naive,90,12,12283565,3
SeqPriority,90,12,490069
ParPriority,90,12,111436,3
SeqPermutation,90,12,237388,3
ParPermutation,90,12,1746448,3
ParPermutationFull,90,12,1952210,3
Naive,90,12,12209664,4
SeqPriority,90,12,494176
ParPriority,90,12,124521,4
SeqPermutation,90,12,259047,4
ParPermutation,90,12,1767877,4
ParPermutationFull,90,12,1972663,4
