algo,k%,threads,time(ms),rep
Naive,10,24,3269073,0
SeqPriority,10,24,2071265
ParPriority,10,24,343036,0
SeqPermutation,10,24,521681,0
ParPermutation,10,24,840746,0
ParPermutationFull,10,24,8527361,0
Naive,10,24,3248735,1
SeqPriority,10,24,1920391
ParPriority,10,24,369747,1
SeqPermutation,10,24,507882,1
ParPermutation,10,24,771597,1
ParPermutationFull,10,24,8434454,1
Naive,10,24,3794810,2
SeqPriority,10,24,1427890
ParPriority,10,24,359617,2
SeqPermutation,10,24,535329,2
ParPermutation,10,24,782336,2
ParPermutationFull,10,24,8446984,2
Naive,10,24,3769191,3
SeqPriority,10,24,1619047
ParPriority,10,24,347727,3
SeqPermutation,10,24,527255,3
ParPermutation,10,24,778923,3
ParPermutationFull,10,24,8418104,3
Naive,10,24,3793850,4
SeqPriority,10,24,1376343
ParPriority,10,24,343912,4
SeqPermutation,10,24,527943,4
ParPermutation,10,24,779553,4
ParPermutationFull,10,24,8440376,4
Naive,25,24,12039364,0
SeqPriority,25,24,1605888
ParPriority,25,24,340921,0
SeqPermutation,25,24,660295,0
ParPermutation,25,24,1872719,0
ParPermutationFull,25,24,8420257,0
Naive,25,24,12099056,1
SeqPriority,25,24,1760487
ParPriority,25,24,362412,1
SeqPermutation,25,24,622001,1
ParPermutation,25,24,1842491,1
ParPermutationFull,25,24,8433460,1
Naive,25,24,12001966,2
SeqPriority,25,24,1600812
ParPriority,25,24,375643,2
SeqPermutation,25,24,615674,2
ParPermutation,25,24,1847525,2
ParPermutationFull,25,24,8427831,2
Naive,25,24,12014353,3
SeqPriority,25,24,1423244
ParPriority,25,24,344442,3
SeqPermutation,25,24,614863,3
ParPermutation,25,24,1835271,3
ParPermutationFull,25,24,8423228,3
Naive,25,24,12331264,4
SeqPriority,25,24,1546949
ParPriority,25,24,354670,4
SeqPermutation,25,24,622346,4
ParPermutation,25,24,1842330,4
ParPermutationFull,25,24,8431242,4
Naive,50,24,24139493,0
SeqPriority,50,24,1795628
ParPriority,50,24,366432,0
SeqPermutation,50,24,748814,0
ParPermutation,50,24,3622369,0
ParPermutationFull,50,24,8413942,0
Naive,50,24,23511760,1
SeqPriority,50,24,1772210
ParPriority,50,24,355103,1
SeqPermutation,50,24,693092,1
ParPermutation,50,24,3607957,1
ParPermutationFull,50,24,8398883,1
Naive,50,24,24627756,2
SeqPriority,50,24,1936975
ParPriority,50,24,380082,2
SeqPermutation,50,24,817836,2
ParPermutation,50,24,3682632,2
ParPermutationFull,50,24,8271285,2
Naive,50,24,24449829,3
SeqPriority,50,24,1966651
ParPriority,50,24,436228,3
SeqPermutation,50,24,816533,3
ParPermutation,50,24,3690743,3
ParPermutationFull,50,24,8275551,3
Naive,50,24,24452634,4
SeqPriority,50,24,1935815
ParPriority,50,24,381700,4
SeqPermutation,50,24,745837,4
ParPermutation,50,24,3618193,4
ParPermutationFull,50,24,8412494,4
Naive,75,24,31048195,0
SeqPriority,75,24,1582628
ParPriority,75,24,385999,0
SeqPermutation,75,24,858892,0
ParPermutation,75,24,5586086,0
ParPermutationFull,75,24,8024599,0
Naive,75,24,30298949,1
SeqPriority,75,24,1773231
ParPriority,75,24,367075,1
SeqPermutation,75,24,856197,1
ParPermutation,75,24,5596885,1
ParPermutationFull,75,24,8016004,1
Naive,75,24,30317895,2
SeqPriority,75,24,1707683
ParPriority,75,24,370906,2
SeqPermutation,75,24,845355,2
ParPermutation,75,24,5590352,2
ParPermutationFull,75,24,8025946,2
Naive,75,24,30210174,3
SeqPriority,75,24,1604821
ParPriority,75,24,368056,3
SeqPermutation,75,24,826787,3
ParPermutation,75,24,5598883,3
ParPermutationFull,75,24,8019937,3
Naive,75,24,31371205,4
SeqPriority,75,24,1581574
ParPriority,75,24,329413,4
SeqPermutation,75,24,861642,4
ParPermutation,75,24,5592072,4
ParPermutationFull,75,24,8029068,4
Naive,90,24,38870650,0
SeqPriority,90,24,1603308
ParPriority,90,24,362702,0
SeqPermutation,90,24,938984,0
ParPermutation,90,24,7268450,0
ParPermutationFull,90,24,8389432,0
Naive,90,24,38388088,1
SeqPriority,90,24,1430923
ParPriority,90,24,368942,1
SeqPermutation,90,24,929213,1
ParPermutation,90,24,6912785,1
ParPermutationFull,90,24,7845462,1
Naive,90,24,37721055,2
SeqPriority,90,24,1605787
ParPriority,90,24,346211,2
SeqPermutation,90,24,924322,2
ParPermutation,90,24,6912698,2
ParPermutationFull,90,24,7844916,2
Naive,90,24,38767207,3
SeqPriority,90,24,1607129
ParPriority,90,24,365084,3
SeqPermutation,90,24,927530,3
ParPermutation,90,24,6921601,3
ParPermutationFull,90,24,7841647,3
Naive,90,24,38776264,4
SeqPriority,90,24,1547489
ParPriority,90,24,361752,4
SeqPermutation,90,24,928086,4
ParPermutation,90,24,6906782,4
ParPermutationFull,90,24,7846444,4
