algo,k,num_threads,time
Naive,25000,12,3
Naive,25000,12,3
Naive,25000,12,3
Naive,50000,12,6
Naive,50000,12,6
Naive,50000,12,6
Naive,75000,12,8
Naive,75000,12,9
Naive,75000,12,9
Naive,100000,12,13
Naive,100000,12,13
Naive,100000,12,13
Naive,250000,12,33
Naive,250000,12,31
Naive,250000,12,31
Naive,500000,12,65
Naive,500000,12,68
Naive,500000,12,65
Naive,750000,12,119
Naive,750000,12,119
Naive,750000,12,119
Naive,1000000,12,166
Naive,1000000,12,165
Naive,1000000,12,164
Naive,2500000,12,608
Naive,2500000,12,576
Naive,2500000,12,599
Naive,5000000,12,1450
Naive,5000000,12,1443
Naive,5000000,12,1444
Naive,7500000,12,2529
Naive,7500000,12,2499
Naive,7500000,12,2478
Naive,10000000,12,3242
Naive,10000000,12,3290
Naive,10000000,12,3307
Naive,25000000,12,10316
Naive,25000000,12,10189
Naive,25000000,12,10304
Naive,50000000,12,21630
Naive,50000000,12,21545
Naive,50000000,12,21483
SeqPriority,25000,12,6893
SeqPriority,25000,12,6544
SeqPriority,25000,12,7420
SeqPriority,50000,12,6528
SeqPriority,50000,12,5581
SeqPriority,50000,12,6686
SeqPriority,75000,12,6865
SeqPriority,75000,12,6866
SeqPriority,75000,12,5951
SeqPriority,100000,12,6518
SeqPriority,100000,12,7140
SeqPriority,100000,12,5466
SeqPriority,250000,12,6801
SeqPriority,250000,12,7172
SeqPriority,250000,12,5758
SeqPriority,500000,12,6652
SeqPriority,500000,12,5469
SeqPriority,500000,12,5635
SeqPriority,750000,12,6850
SeqPriority,750000,12,6877
SeqPriority,750000,12,5950
SeqPriority,1000000,12,5974
SeqPriority,1000000,12,6995
SeqPriority,1000000,12,6964
SeqPriority,2500000,12,6864
SeqPriority,2500000,12,6803
SeqPriority,2500000,12,6268
SeqPriority,5000000,12,6065
SeqPriority,5000000,12,6780
SeqPriority,5000000,12,6695
SeqPriority,7500000,12,7390
SeqPriority,7500000,12,7045
SeqPriority,7500000,12,6548
SeqPriority,10000000,12,6975
SeqPriority,10000000,12,7080
SeqPriority,10000000,12,6172
SeqPriority,25000000,12,7283
SeqPriority,25000000,12,7682
SeqPriority,25000000,12,6375
SeqPriority,50000000,12,6221
SeqPriority,50000000,12,7489
SeqPriority,50000000,12,6694
ParPriority,25000,12,3879
ParPriority,25000,12,3870
ParPriority,25000,12,3806
ParPriority,50000,12,3855
ParPriority,50000,12,3809
ParPriority,50000,12,3884
ParPriority,75000,12,3846
ParPriority,75000,12,3807
ParPriority,75000,12,3826
ParPriority,100000,12,4079
ParPriority,100000,12,3857
ParPriority,100000,12,3931
ParPriority,250000,12,3817
ParPriority,250000,12,3821
ParPriority,250000,12,3895
ParPriority,500000,12,3833
ParPriority,500000,12,3928
ParPriority,500000,12,3852
ParPriority,750000,12,4076
ParPriority,750000,12,3870
ParPriority,750000,12,4094
ParPriority,1000000,12,3843
ParPriority,1000000,12,4066
ParPriority,1000000,12,4097
ParPriority,2500000,12,3984
ParPriority,2500000,12,4280
ParPriority,2500000,12,4114
ParPriority,5000000,12,3968
ParPriority,5000000,12,4221
ParPriority,5000000,12,4075
ParPriority,7500000,12,4167
ParPriority,7500000,12,4109
ParPriority,7500000,12,4112
ParPriority,10000000,12,4329
ParPriority,10000000,12,4021
ParPriority,10000000,12,4116
ParPriority,25000000,12,4169
ParPriority,25000000,12,4173
ParPriority,25000000,12,4265
ParPriority,50000000,12,4200
ParPriority,50000000,12,4128
ParPriority,50000000,12,4098
SeqPermutation,25000,12,3
SeqPermutation,25000,12,3
SeqPermutation,25000,12,3
SeqPermutation,50000,12,6
SeqPermutation,50000,12,6
SeqPermutation,50000,12,6
SeqPermutation,75000,12,9
SeqPermutation,75000,12,9
SeqPermutation,75000,12,9
SeqPermutation,100000,12,13
SeqPermutation,100000,12,13
SeqPermutation,100000,12,13
SeqPermutation,250000,12,33
SeqPermutation,250000,12,32
SeqPermutation,250000,12,33
SeqPermutation,500000,12,69
SeqPermutation,500000,12,68
SeqPermutation,500000,12,69
SeqPermutation,750000,12,126
SeqPermutation,750000,12,125
SeqPermutation,750000,12,126
SeqPermutation,1000000,12,171
SeqPermutation,1000000,12,171
SeqPermutation,1000000,12,173
SeqPermutation,2500000,12,590
SeqPermutation,2500000,12,593
SeqPermutation,2500000,12,595
SeqPermutation,5000000,12,1426
SeqPermutation,5000000,12,1426
SeqPermutation,5000000,12,1432
SeqPermutation,7500000,12,2596
SeqPermutation,7500000,12,2575
SeqPermutation,7500000,12,2560
SeqPermutation,10000000,12,3322
SeqPermutation,10000000,12,3331
SeqPermutation,10000000,12,3312
SeqPermutation,25000000,12,8828
SeqPermutation,25000000,12,8836
SeqPermutation,25000000,12,8421
SeqPermutation,50000000,12,17314
SeqPermutation,50000000,12,17229
SeqPermutation,50000000,12,17595
SeqPermutationCopy,25000,12,3
SeqPermutationCopy,25000,12,3
SeqPermutationCopy,25000,12,3
SeqPermutationCopy,50000,12,6
SeqPermutationCopy,50000,12,6
SeqPermutationCopy,50000,12,7
SeqPermutationCopy,75000,12,9
SeqPermutationCopy,75000,12,9
SeqPermutationCopy,75000,12,9
