algo,k,threads,time(ms),rep
Naive,26,12,39373,0
SeqPriority,26,12,1421227
ParPriority,26,12,265943,0
SeqPermutation,26,12,484590,0
ParPermutation,26,12,186147,0
ParPermutationFull,26,12,7357368,0
Naive,26,12,40217,1
SeqPriority,26,12,1327354
ParPriority,26,12,240575,1
SeqPermutation,26,12,485407,1
ParPermutation,26,12,185527,1
ParPermutationFull,26,12,7309338,1
Naive,26,12,39158,2
SeqPriority,26,12,1476914
ParPriority,26,12,249570,2
SeqPermutation,26,12,481689,2
ParPermutation,26,12,181912,2
ParPermutationFull,26,12,7305078,2
Naive,26,12,39389,3
SeqPriority,26,12,1334855
ParPriority,26,12,241457,3
SeqPermutation,26,12,494726,3
ParPermutation,26,12,186255,3
ParPermutationFull,26,12,7303283,3
Naive,26,12,39521,4
SeqPriority,26,12,1423785
ParPriority,26,12,239219,4
SeqPermutation,26,12,493710,4
ParPermutation,26,12,184945,4
ParPermutationFull,26,12,7332505,4
Naive,1355,12,40766,0
SeqPriority,1355,12,1498431
ParPriority,1355,12,251484,0
SeqPermutation,1355,12,497358,0
ParPermutation,1355,12,183987,0
ParPermutationFull,1355,12,7297833,0
Naive,1355,12,41227,1
SeqPriority,1355,12,1407510
ParPriority,1355,12,242081,1
SeqPermutation,1355,12,498423,1
ParPermutation,1355,12,186435,1
ParPermutationFull,1355,12,7290956,1
Naive,1355,12,40044,2
SeqPriority,1355,12,1277688
ParPriority,1355,12,240483,2
SeqPermutation,1355,12,496723,2
ParPermutation,1355,12,186943,2
ParPermutationFull,1355,12,7304748,2
Naive,1355,12,41071,3
SeqPriority,1355,12,1160646
ParPriority,1355,12,254974,3
SeqPermutation,1355,12,497845,3
ParPermutation,1355,12,186745,3
ParPermutationFull,1355,12,7294871,3
Naive,1355,12,40372,4
SeqPriority,1355,12,1481733
ParPriority,1355,12,238054,4
SeqPermutation,1355,12,505372,4
ParPermutation,1355,12,183134,4
ParPermutationFull,1355,12,7299684,4
Naive,2684,12,39709,0
SeqPriority,2684,12,1192474
ParPriority,2684,12,238091,0
SeqPermutation,2684,12,494469,0
ParPermutation,2684,12,187439,0
ParPermutationFull,2684,12,7301332,0
Naive,2684,12,39948,1
SeqPriority,2684,12,1324618
ParPriority,2684,12,239032,1
SeqPermutation,2684,12,489507,1
ParPermutation,2684,12,189335,1
ParPermutationFull,2684,12,7302133,1
Naive,2684,12,40104,2
SeqPriority,2684,12,1335408
ParPriority,2684,12,243513,2
SeqPermutation,2684,12,497731,2
ParPermutation,2684,12,196822,2
ParPermutationFull,2684,12,7298274,2
Naive,2684,12,39400,3
SeqPriority,2684,12,1352490
ParPriority,2684,12,258752,3
