algo,k,num_threads,time
Naive,25000,24,3
Naive,25000,24,3
Naive,25000,24,3
Naive,50000,24,6
Naive,50000,24,6
Naive,50000,24,6
Naive,75000,24,8
Naive,75000,24,9
Naive,75000,24,8
Naive,100000,24,12
Naive,100000,24,12
Naive,100000,24,12
Naive,250000,24,31
Naive,250000,24,32
Naive,250000,24,31
Naive,500000,24,67
Naive,500000,24,64
Naive,500000,24,65
Naive,750000,24,122
Naive,750000,24,118
Naive,750000,24,117
Naive,1000000,24,168
Naive,1000000,24,163
Naive,1000000,24,172
Naive,2500000,24,601
Naive,2500000,24,605
Naive,2500000,24,588
Naive,5000000,24,1451
Naive,5000000,24,1417
Naive,5000000,24,1463
Naive,7500000,24,2485
Naive,7500000,24,2529
Naive,7500000,24,2488
Naive,10000000,24,3202
Naive,10000000,24,3260
Naive,10000000,24,3260
Naive,25000000,24,10365
Naive,25000000,24,10241
Naive,25000000,24,10229
Naive,50000000,24,21488
Naive,50000000,24,21859
Naive,50000000,24,21688
SeqPriority,25000,24,6870
SeqPriority,25000,24,6730
SeqPriority,25000,24,6593
SeqPriority,50000,24,7109
SeqPriority,50000,24,6527
SeqPriority,50000,24,6840
SeqPriority,75000,24,6227
SeqPriority,75000,24,5686
SeqPriority,75000,24,6009
SeqPriority,100000,24,6985
SeqPriority,100000,24,6317
SeqPriority,100000,24,7312
SeqPriority,250000,24,5469
SeqPriority,250000,24,6204
SeqPriority,250000,24,6913
SeqPriority,500000,24,7348
SeqPriority,500000,24,7150
SeqPriority,500000,24,6577
SeqPriority,750000,24,6691
SeqPriority,750000,24,7406
SeqPriority,750000,24,6507
SeqPriority,1000000,24,6504
SeqPriority,1000000,24,7319
SeqPriority,1000000,24,6964
SeqPriority,2500000,24,6740
SeqPriority,2500000,24,7350
SeqPriority,2500000,24,6496
SeqPriority,5000000,24,6472
SeqPriority,5000000,24,7258
SeqPriority,5000000,24,7337
SeqPriority,7500000,24,5977
SeqPriority,7500000,24,6811
SeqPriority,7500000,24,6990
SeqPriority,10000000,24,6422
SeqPriority,10000000,24,6622
SeqPriority,10000000,24,6398
SeqPriority,25000000,24,7494
