algorithm,threads,n,k,rep,dtype,time
SeqPriority,1,30000000,7500000,4,i32,90
ParPriority,1,30000000,7500000,4,i32,19992
SeqPermutation,1,30000000,7500000,4,i32,352
FullPermutation,1,30000000,7500000,4,i32,17653
ParPermutation,1,30000000,7500000,4,i32,5380
Naive,1,30000000,7500000,5,i32,2664
SeqPriority,1,30000000,7500000,5,i32,99
ParPriority,1,30000000,7500000,5,i32,14021
SeqPermutation,1,30000000,7500000,5,i32,356
FullPermutation,1,30000000,7500000,5,i32,17817
ParPermutation,1,30000000,7500000,5,i32,5382
Naive,1,30000000,7500000,6,i32,2703
SeqPriority,1,30000000,7500000,6,i32,109
ParPriority,1,30000000,7500000,6,i32,14273
SeqPermutation,1,30000000,7500000,6,i32,355
FullPermutation,1,30000000,7500000,6,i32,17784
ParPermutation,1,30000000,7500000,6,i32,5454
Naive,1,30000000,7500000,7,i32,2691
SeqPriority,1,30000000,7500000,7,i32,136
ParPriority,1,30000000,7500000,7,i32,15381
SeqPermutation,1,30000000,7500000,7,i32,355
FullPermutation,1,30000000,7500000,7,i32,17816
ParPermutation,1,30000000,7500000,7,i32,5339
Naive,1,30000000,7500000,8,i32,2695
SeqPriority,1,30000000,7500000,8,i32,116
ParPriority,1,30000000,7500000,8,i32,13135
SeqPermutation,1,30000000,7500000,8,i32,354
FullPermutation,1,30000000,7500000,8,i32,17770
ParPermutation,1,30000000,7500000,8,i32,5488
Naive,1,30000000,7500000,9,i32,2679
SeqPriority,1,30000000,7500000,9,i32,114
ParPriority,1,30000000,7500000,9,i32,14438
SeqPermutation,1,30000000,7500000,9,i32,358
FullPermutation,1,30000000,7500000,9,i32,18045
ParPermutation,1,30000000,7500000,9,i32,5405
Naive,1,30000000,7500000,10,i32,2726
SeqPriority,1,30000000,7500000,10,i32,92
ParPriority,1,30000000,7500000,10,i32,9585
SeqPermutation,1,30000000,7500000,10,i32,353
FullPermutation,1,30000000,7500000,10,i32,17686
ParPermutation,1,30000000,7500000,10,i32,5319
Naive,1,30000000,7500000,11,i32,2670
SeqPriority,1,30000000,7500000,11,i32,117
ParPriority,1,30000000,7500000,11,i32,12656
SeqPermutation,1,30000000,7500000,11,i32,357
FullPermutation,1,30000000,7500000,11,i32,17837
ParPermutation,1,30000000,7500000,11,i32,5337
Naive,1,30000000,7500000,12,i32,2701
SeqPriority,1,30000000,7500000,12,i32,86
ParPriority,1,30000000,7500000,12,i32,9751
SeqPermutation,1,30000000,7500000,12,i32,352
FullPermutation,1,30000000,7500000,12,i32,17760
ParPermutation,1,30000000,7500000,12,i32,5374
Naive,1,30000000,7500000,13,i32,2701
SeqPriority,1,30000000,7500000,13,i32,147
ParPriority,1,30000000,7500000,13,i32,16447
SeqPermutation,1,30000000,7500000,13,i32,352
FullPermutation,1,30000000,7500000,13,i32,17764
ParPermutation,1,30000000,7500000,13,i32,5391
Naive,1,30000000,7500000,14,i32,2695
SeqPriority,1,30000000,7500000,14,i32,132
ParPriority,1,30000000,7500000,14,i32,15419
SeqPermutation,1,30000000,7500000,14,i32,351
FullPermutation,1,30000000,7500000,14,i32,17727
ParPermutation,1,30000000,7500000,14,i32,5400
Naive,1,30000000,15000000,0,i32,4172
SeqPriority,1,30000000,15000000,0,i32,235
ParPriority,1,30000000,15000000,0,i32,12562
SeqPermutation,1,30000000,15000000,0,i32,396
FullPermutation,1,30000000,15000000,0,i32,17787
ParPermutation,1,30000000,15000000,0,i32,10724
Naive,1,30000000,15000000,1,i32,4171
SeqPriority,1,30000000,15000000,1,i32,137
ParPriority,1,30000000,15000000,1,i32,17962
SeqPermutation,1,30000000,15000000,1,i32,398
FullPermutation,1,30000000,15000000,1,i32,17683
ParPermutation,1,30000000,15000000,1,i32,10742
Naive,1,30000000,15000000,2,i32,4146
SeqPriority,1,30000000,15000000,2,i32,147
ParPriority,1,30000000,15000000,2,i32,10773
SeqPermutation,1,30000000,15000000,2,i32,397
FullPermutation,1,30000000,15000000,2,i32,17786
ParPermutation,1,30000000,15000000,2,i32,10833
Naive,1,30000000,15000000,3,i32,4093
SeqPriority,1,30000000,15000000,3,i32,189
ParPriority,1,30000000,15000000,3,i32,12156
SeqPermutation,1,30000000,15000000,3,i32,395
FullPermutation,1,30000000,15000000,3,i32,17739
ParPermutation,1,30000000,15000000,3,i32,10827
Naive,1,30000000,15000000,4,i32,4190
SeqPriority,1,30000000,15000000,4,i32,162
ParPriority,1,30000000,15000000,4,i32,17463
SeqPermutation,1,30000000,15000000,4,i32,397
FullPermutation,1,30000000,15000000,4,i32,17855
ParPermutation,1,30000000,15000000,4,i32,10910
Naive,1,30000000,15000000,5,i32,4235
SeqPriority,1,30000000,15000000,5,i32,99
ParPriority,1,30000000,15000000,5,i32,22559
SeqPermutation,1,30000000,15000000,5,i32,405
FullPermutation,1,30000000,15000000,5,i32,18038
ParPermutation,1,30000000,15000000,5,i32,10878
Naive,1,30000000,15000000,6,i32,4294
SeqPriority,1,30000000,15000000,6,i32,128
ParPriority,1,30000000,15000000,6,i32,16312
SeqPermutation,1,30000000,15000000,6,i32,405
FullPermutation,1,30000000,15000000,6,i32,18025
ParPermutation,1,30000000,15000000,6,i32,10851
Naive,1,30000000,15000000,7,i32,4230
SeqPriority,1,30000000,15000000,7,i32,127
ParPriority,1,30000000,15000000,7,i32,19867
SeqPermutation,1,30000000,15000000,7,i32,401
FullPermutation,1,30000000,15000000,7,i32,17919
ParPermutation,1,30000000,15000000,7,i32,10865
Naive,1,30000000,15000000,8,i32,4228
SeqPriority,1,30000000,15000000,8,i32,177
ParPriority,1,30000000,15000000,8,i32,11878
SeqPermutation,1,30000000,15000000,8,i32,399
FullPermutation,1,30000000,15000000,8,i32,17915
ParPermutation,1,30000000,15000000,8,i32,11036
Naive,1,30000000,15000000,9,i32,4208
SeqPriority,1,30000000,15000000,9,i32,265
ParPriority,1,30000000,15000000,9,i32,18216
SeqPermutation,1,30000000,15000000,9,i32,398
FullPermutation,1,30000000,15000000,9,i32,17979
ParPermutation,1,30000000,15000000,9,i32,10849
Naive,1,30000000,15000000,10,i32,4242
SeqPriority,1,30000000,15000000,10,i32,129
ParPriority,1,30000000,15000000,10,i32,18060
SeqPermutation,1,30000000,15000000,10,i32,399
FullPermutation,1,30000000,15000000,10,i32,18053
ParPermutation,1,30000000,15000000,10,i32,10909
Naive,1,30000000,15000000,11,i32,4272
SeqPriority,1,30000000,15000000,11,i32,100
ParPriority,1,30000000,15000000,11,i32,11452
SeqPermutation,1,30000000,15000000,11,i32,402
FullPermutation,1,30000000,15000000,11,i32,17976
ParPermutation,1,30000000,15000000,11,i32,10857
Naive,1,30000000,15000000,12,i32,4279
SeqPriority,1,30000000,15000000,12,i32,153
ParPriority,1,30000000,15000000,12,i32,16453
SeqPermutation,1,30000000,15000000,12,i32,399
FullPermutation,1,30000000,15000000,12,i32,17932
ParPermutation,1,30000000,15000000,12,i32,10844
Naive,1,30000000,15000000,13,i32,4291
SeqPriority,1,30000000,15000000,13,i32,163
ParPriority,1,30000000,15000000,13,i32,13262
SeqPermutation,1,30000000,15000000,13,i32,398
FullPermutation,1,30000000,15000000,13,i32,17944
ParPermutation,1,30000000,15000000,13,i32,10873
Naive,1,30000000,15000000,14,i32,4271
SeqPriority,1,30000000,15000000,14,i32,169
ParPriority,1,30000000,15000000,14,i32,11889
SeqPermutation,1,30000000,15000000,14,i32,398
FullPermutation,1,30000000,15000000,14,i32,17963
ParPermutation,1,30000000,15000000,14,i32,10869
Naive,1,30000000,22500000,0,i32,5902
SeqPriority,1,30000000,22500000,0,i32,106
ParPriority,1,30000000,22500000,0,i32,16868
SeqPermutation,1,30000000,22500000,0,i32,440
FullPermutation,1,30000000,22500000,0,i32,18021
ParPermutation,1,30000000,22500000,0,i32,15902
Naive,1,30000000,22500000,1,i32,5897
SeqPriority,1,30000000,22500000,1,i32,210
ParPriority,1,30000000,22500000,1,i32,18416
SeqPermutation,1,30000000,22500000,1,i32,443
FullPermutation,1,30000000,22500000,1,i32,17979
ParPermutation,1,30000000,22500000,1,i32,15833
Naive,1,30000000,22500000,2,i32,5930
SeqPriority,1,30000000,22500000,2,i32,173
ParPriority,1,30000000,22500000,2,i32,11216
SeqPermutation,1,30000000,22500000,2,i32,443
FullPermutation,1,30000000,22500000,2,i32,18000
ParPermutation,1,30000000,22500000,2,i32,15949
Naive,1,30000000,22500000,3,i32,5837
SeqPriority,1,30000000,22500000,3,i32,114
ParPriority,1,30000000,22500000,3,i32,16112
SeqPermutation,1,30000000,22500000,3,i32,440
FullPermutation,1,30000000,22500000,3,i32,17958
ParPermutation,1,30000000,22500000,3,i32,15873
Naive,1,30000000,22500000,4,i32,5856
SeqPriority,1,30000000,22500000,4,i32,177
ParPriority,1,30000000,22500000,4,i32,12063
SeqPermutation,1,30000000,22500000,4,i32,438
FullPermutation,1,30000000,22500000,4,i32,17964
ParPermutation,1,30000000,22500000,4,i32,15849
Naive,1,30000000,22500000,5,i32,5948
SeqPriority,1,30000000,22500000,5,i32,158
ParPriority,1,30000000,22500000,5,i32,12524
SeqPermutation,1,30000000,22500000,5,i32,440
FullPermutation,1,30000000,22500000,5,i32,17955
ParPermutation,1,30000000,22500000,5,i32,15820
Naive,1,30000000,22500000,6,i32,5866
SeqPriority,1,30000000,22500000,6,i32,137
ParPriority,1,30000000,22500000,6,i32,17120
SeqPermutation,1,30000000,22500000,6,i32,437
FullPermutation,1,30000000,22500000,6,i32,17995
ParPermutation,1,30000000,22500000,6,i32,15811
Naive,1,30000000,22500000,7,i32,5950
SeqPriority,1,30000000,22500000,7,i32,112
ParPriority,1,30000000,22500000,7,i32,14875
SeqPermutation,1,30000000,22500000,7,i32,441
FullPermutation,1,30000000,22500000,7,i32,17964
ParPermutation,1,30000000,22500000,7,i32,15818
Naive,1,30000000,22500000,8,i32,5869
SeqPriority,1,30000000,22500000,8,i32,132
ParPriority,1,30000000,22500000,8,i32,11586
SeqPermutation,1,30000000,22500000,8,i32,438
FullPermutation,1,30000000,22500000,8,i32,17973
ParPermutation,1,30000000,22500000,8,i32,15846
Naive,1,30000000,22500000,9,i32,5917
SeqPriority,1,30000000,22500000,9,i32,171
ParPriority,1,30000000,22500000,9,i32,21857
SeqPermutation,1,30000000,22500000,9,i32,437
FullPermutation,1,30000000,22500000,9,i32,18139
ParPermutation,1,30000000,22500000,9,i32,16152
Naive,1,30000000,22500000,10,i32,5669
