algorithm,threads,n,k,rep,dtype,time
FullPermutation,1,30000000,15000000,2,i32,18227
ParPermutation,1,30000000,15000000,2,i32,10931
SeqPriority,1,30000000,15000000,3,i32,124
ParPriority,1,30000000,15000000,3,i32,14816
SeqPermutation,1,30000000,15000000,3,i32,423
FullPermutation,1,30000000,15000000,3,i32,18173
ParPermutation,1,30000000,15000000,3,i32,10915
SeqPriority,1,30000000,15000000,4,i32,146
ParPriority,1,30000000,15000000,4,i32,16240
SeqPermutation,1,30000000,15000000,4,i32,418
FullPermutation,1,30000000,15000000,4,i32,18017
ParPermutation,1,30000000,15000000,4,i32,10892
SeqPriority,1,30000000,15000000,5,i32,77
ParPriority,1,30000000,15000000,5,i32,11170
SeqPermutation,1,30000000,15000000,5,i32,416
FullPermutation,1,30000000,15000000,5,i32,18048
ParPermutation,1,30000000,15000000,5,i32,10841
SeqPriority,1,30000000,15000000,6,i32,149
ParPriority,1,30000000,15000000,6,i32,11003
SeqPermutation,1,30000000,15000000,6,i32,417
FullPermutation,1,30000000,15000000,6,i32,18048
ParPermutation,1,30000000,15000000,6,i32,10931
SeqPriority,1,30000000,15000000,7,i32,144
ParPriority,1,30000000,15000000,7,i32,13349
SeqPermutation,1,30000000,15000000,7,i32,418
FullPermutation,1,30000000,15000000,7,i32,18108
ParPermutation,1,30000000,15000000,7,i32,10860
SeqPriority,1,30000000,15000000,8,i32,196
ParPriority,1,30000000,15000000,8,i32,14728
SeqPermutation,1,30000000,15000000,8,i32,418
FullPermutation,1,30000000,15000000,8,i32,18180
ParPermutation,1,30000000,15000000,8,i32,10937
SeqPriority,1,30000000,15000000,9,i32,147
ParPriority,1,30000000,15000000,9,i32,21388
SeqPermutation,1,30000000,15000000,9,i32,419
FullPermutation,1,30000000,15000000,9,i32,18099
ParPermutation,1,30000000,15000000,9,i32,10883
SeqPriority,1,30000000,22500000,0,i32,113
ParPriority,1,30000000,22500000,0,i32,12775
SeqPermutation,1,30000000,22500000,0,i32,458
FullPermutation,1,30000000,22500000,0,i32,18431
ParPermutation,1,30000000,22500000,0,i32,15804
SeqPriority,1,30000000,22500000,1,i32,121
ParPriority,1,30000000,22500000,1,i32,10196
SeqPermutation,1,30000000,22500000,1,i32,450
FullPermutation,1,30000000,22500000,1,i32,18020
ParPermutation,1,30000000,22500000,1,i32,15813
SeqPriority,1,30000000,22500000,2,i32,196
ParPriority,1,30000000,22500000,2,i32,19032
SeqPermutation,1,30000000,22500000,2,i32,452
FullPermutation,1,30000000,22500000,2,i32,18023
ParPermutation,1,30000000,22500000,2,i32,15726
SeqPriority,1,30000000,22500000,3,i32,158
ParPriority,1,30000000,22500000,3,i32,21716
SeqPermutation,1,30000000,22500000,3,i32,453
FullPermutation,1,30000000,22500000,3,i32,18096
ParPermutation,1,30000000,22500000,3,i32,15824
SeqPriority,1,30000000,22500000,4,i32,101
ParPriority,1,30000000,22500000,4,i32,13190
SeqPermutation,1,30000000,22500000,4,i32,456
FullPermutation,1,30000000,22500000,4,i32,18255
ParPermutation,1,30000000,22500000,4,i32,15833
SeqPriority,1,30000000,22500000,5,i32,145
ParPriority,1,30000000,22500000,5,i32,11161
SeqPermutation,1,30000000,22500000,5,i32,454
FullPermutation,1,30000000,22500000,5,i32,18078
ParPermutation,1,30000000,22500000,5,i32,15809
SeqPriority,1,30000000,22500000,6,i32,197
ParPriority,1,30000000,22500000,6,i32,19535
SeqPermutation,1,30000000,22500000,6,i32,453
FullPermutation,1,30000000,22500000,6,i32,18018
ParPermutation,1,30000000,22500000,6,i32,15824
SeqPriority,1,30000000,22500000,7,i32,160
ParPriority,1,30000000,22500000,7,i32,9645
SeqPermutation,1,30000000,22500000,7,i32,451
FullPermutation,1,30000000,22500000,7,i32,18048
ParPermutation,1,30000000,22500000,7,i32,15838
SeqPriority,1,30000000,22500000,8,i32,160
ParPriority,1,30000000,22500000,8,i32,15801
SeqPermutation,1,30000000,22500000,8,i32,453
FullPermutation,1,30000000,22500000,8,i32,18023
ParPermutation,1,30000000,22500000,8,i32,15942
SeqPriority,1,30000000,22500000,9,i32,155
ParPriority,1,30000000,22500000,9,i32,18312
SeqPermutation,1,30000000,22500000,9,i32,454
FullPermutation,1,30000000,22500000,9,i32,18241
ParPermutation,1,30000000,22500000,9,i32,15868
SeqPriority,1,30000000,27000000,0,i32,155
ParPriority,1,30000000,27000000,0,i32,12668
SeqPermutation,1,30000000,27000000,0,i32,477
FullPermutation,1,30000000,27000000,0,i32,18106
ParPermutation,1,30000000,27000000,0,i32,17857
SeqPriority,1,30000000,27000000,1,i32,106
ParPriority,1,30000000,27000000,1,i32,25183
SeqPermutation,1,30000000,27000000,1,i32,455
FullPermutation,1,30000000,27000000,1,i32,18083
ParPermutation,1,30000000,27000000,1,i32,17718
SeqPriority,1,30000000,27000000,2,i32,147
ParPriority,1,30000000,27000000,2,i32,20618
SeqPermutation,1,30000000,27000000,2,i32,454
FullPermutation,1,30000000,27000000,2,i32,18028
ParPermutation,1,30000000,27000000,2,i32,17881
SeqPriority,1,30000000,27000000,3,i32,133
ParPriority,1,30000000,27000000,3,i32,18326
SeqPermutation,1,30000000,27000000,3,i32,458
FullPermutation,1,30000000,27000000,3,i32,17952
ParPermutation,1,30000000,27000000,3,i32,17798
SeqPriority,1,30000000,27000000,4,i32,179
ParPriority,1,30000000,27000000,4,i32,13006
SeqPermutation,1,30000000,27000000,4,i32,463
FullPermutation,1,30000000,27000000,4,i32,17901
ParPermutation,1,30000000,27000000,4,i32,17996
SeqPriority,1,30000000,27000000,5,i32,128
ParPriority,1,30000000,27000000,5,i32,17495
SeqPermutation,1,30000000,27000000,5,i32,471
FullPermutation,1,30000000,27000000,5,i32,18086
ParPermutation,1,30000000,27000000,5,i32,17840
SeqPriority,1,30000000,27000000,6,i32,166
ParPriority,1,30000000,27000000,6,i32,15982
SeqPermutation,1,30000000,27000000,6,i32,468
FullPermutation,1,30000000,27000000,6,i32,18127
ParPermutation,1,30000000,27000000,6,i32,17921
SeqPriority,1,30000000,27000000,7,i32,174
ParPriority,1,30000000,27000000,7,i32,14500
SeqPermutation,1,30000000,27000000,7,i32,475
FullPermutation,1,30000000,27000000,7,i32,18249
ParPermutation,1,30000000,27000000,7,i32,18049
SeqPriority,1,30000000,27000000,8,i32,149
ParPriority,1,30000000,27000000,8,i32,19704
SeqPermutation,1,30000000,27000000,8,i32,476
FullPermutation,1,30000000,27000000,8,i32,18254
ParPermutation,1,30000000,27000000,8,i32,18196
SeqPriority,1,30000000,27000000,9,i32,90
ParPriority,1,30000000,27000000,9,i32,11698
SeqPermutation,1,30000000,27000000,9,i32,467
FullPermutation,1,30000000,27000000,9,i32,18143
ParPermutation,1,30000000,27000000,9,i32,18029
