algorithm,threads,n,k,rep,dtype,time(mu)
ParPriority,1,20000000,5000000,8,i32,7726244
SeqPermutation,1,20000000,5000000,8,i32,232962
FullPermutation,1,20000000,5000000,8,i32,10904213
ParPermutation,1,20000000,5000000,8,i32,3280993
Naive,1,20000000,5000000,9,i32,1558542
SeqPriority,1,20000000,5000000,9,i32,94079
ParPriority,1,20000000,5000000,9,i32,10440226
SeqPermutation,1,20000000,5000000,9,i32,233660
FullPermutation,1,20000000,5000000,9,i32,10915501
ParPermutation,1,20000000,5000000,9,i32,3290064
Naive,1,20000000,10000000,0,i32,2398816
SeqPriority,1,20000000,10000000,0,i32,101608
ParPriority,1,20000000,10000000,0,i32,9931713
SeqPermutation,1,20000000,10000000,0,i32,264926
FullPermutation,1,20000000,10000000,0,i32,10887726
ParPermutation,1,20000000,10000000,0,i32,6742203
Naive,1,20000000,10000000,1,i32,2401555
SeqPriority,1,20000000,10000000,1,i32,170843
ParPriority,1,20000000,10000000,1,i32,11059729
SeqPermutation,1,20000000,10000000,1,i32,267869
FullPermutation,1,20000000,10000000,1,i32,10914584
ParPermutation,1,20000000,10000000,1,i32,6722218
Naive,1,20000000,10000000,2,i32,2410862
SeqPriority,1,20000000,10000000,2,i32,99641
ParPriority,1,20000000,10000000,2,i32,11250654
SeqPermutation,1,20000000,10000000,2,i32,264652
FullPermutation,1,20000000,10000000,2,i32,10919983
ParPermutation,1,20000000,10000000,2,i32,6682601
Naive,1,20000000,10000000,3,i32,2384260
SeqPriority,1,20000000,10000000,3,i32,123387
ParPriority,1,20000000,10000000,3,i32,7582315
SeqPermutation,1,20000000,10000000,3,i32,263625
FullPermutation,1,20000000,10000000,3,i32,10876648
ParPermutation,1,20000000,10000000,3,i32,6700775
Naive,1,20000000,10000000,4,i32,2395931
SeqPriority,1,20000000,10000000,4,i32,95756
ParPriority,1,20000000,10000000,4,i32,10729961
SeqPermutation,1,20000000,10000000,4,i32,262122
FullPermutation,1,20000000,10000000,4,i32,11114885
ParPermutation,1,20000000,10000000,4,i32,6631537
Naive,1,20000000,10000000,5,i32,2440426
SeqPriority,1,20000000,10000000,5,i32,67767
ParPriority,1,20000000,10000000,5,i32,11830639
SeqPermutation,1,20000000,10000000,5,i32,267149
FullPermutation,1,20000000,10000000,5,i32,11002552
ParPermutation,1,20000000,10000000,5,i32,6712594
Naive,1,20000000,10000000,6,i32,2368443
SeqPriority,1,20000000,10000000,6,i32,143457
ParPriority,1,20000000,10000000,6,i32,8361962
